precision,recall,f1-score,support
0.7901234567901234,0.8421052631578947,0.8152866242038217,76.0
0.7037037037037037,0.7402597402597403,0.7215189873417721,77.0
0.7761194029850746,0.6753246753246753,0.7222222222222222,77.0
0.7761194029850746,0.6753246753246753,0.7222222222222222,77.0
0.7375,0.7662337662337663,0.7515923566878981,77.0
0.675,0.7105263157894737,0.6923076923076923,38.0
0.5357142857142857,0.5844155844155844,0.5590062111801242,77.0
0.6710526315789473,0.6623376623376623,0.6666666666666666,77.0
0.7065972222222222,0.7065972222222222,0.7065972222222222,0.7065972222222222
0.7081666104696511,0.707065960355434,0.7063528728540525,576.0
0.7102699801953386,0.7065972222222222,0.7071147275241189,576.0
