mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.0517702102661133,0.029686091243759906,0.07136683464050293,0.009012544130956602,0.1,scale,linear,True,42,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.7136659436008677,0.7136659436008677,0.735357917570499,0.6898047722342733,0.6978260869565217,0.7100641327926058,0.015658435980046143,9
4.250626802444458,0.023922320327114537,0.2874611377716064,0.005093134364837216,0.1,scale,rbf,True,42,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.44468546637744033,0.4403470715835141,0.44685466377440347,0.45336225596529284,0.45869565217391306,0.44878902197491277,0.006494662849305931,11
2.0480527877807617,0.018229478397138843,0.058956146240234375,0.0009661988267481202,0.1,auto,linear,True,42,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.7136659436008677,0.7136659436008677,0.735357917570499,0.6898047722342733,0.6978260869565217,0.7100641327926058,0.015658435980046143,9
4.212784051895142,0.025452366497670176,0.28716211318969725,0.005159504670741794,0.1,auto,rbf,True,42,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.44468546637744033,0.4403470715835141,0.44685466377440347,0.45336225596529284,0.45869565217391306,0.44878902197491277,0.006494662849305931,11
5.2288743019104,0.19332340640232928,0.04989857673645019,0.00122334707487223,1.0,scale,linear,True,42,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.7722342733188721,0.7830802603036876,0.7592190889370932,0.735357917570499,0.7673913043478261,0.7634565688955955,0.016031905346461695,7
3.166437101364136,0.017820520180679512,0.2541185855865479,0.0028640376563284714,1.0,scale,rbf,True,42,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.7939262472885033,0.7939262472885033,0.8047722342733189,0.7830802603036876,0.7978260869565217,0.7947062152221069,0.007034740462854063,4
4.963575792312622,0.15008376233680037,0.04558916091918945,0.0034978594563880167,1.0,auto,linear,True,42,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.7722342733188721,0.7830802603036876,0.7592190889370932,0.735357917570499,0.7673913043478261,0.7634565688955955,0.016031905346461695,7
3.0183252811431887,0.11311954446430794,0.2574976921081543,0.002858157843636826,1.0,auto,rbf,True,42,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.7982646420824295,0.7917570498915402,0.8047722342733189,0.7830802603036876,0.8021739130434783,0.7960096199188909,0.007811782599446623,3
17.899525499343873,1.5809658187772746,0.04220767021179199,0.003962504242281568,10.0,scale,linear,True,42,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.806941431670282,0.8026030368763557,0.8091106290672451,0.7787418655097614,0.7760869565217391,0.7946967839290766,0.014290446203933318,5
3.2824416637420653,0.07944764360820886,0.20443406105041503,0.01977859680098193,10.0,scale,rbf,True,42,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.8850325379609545,0.8937093275488069,0.9154013015184381,0.8590021691973969,0.8804347826086957,0.8867160237668583,0.018341740961614464,1
17.65970425605774,2.257996609770074,0.039549970626831056,0.008638373632041674,10.0,auto,linear,True,42,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.806941431670282,0.8026030368763557,0.8091106290672451,0.7787418655097614,0.7760869565217391,0.7946967839290766,0.014290446203933318,5
3.0979016780853272,0.07612243108683193,0.19321269989013673,0.020240977978137866,10.0,auto,rbf,True,42,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.8850325379609545,0.8937093275488069,0.9154013015184381,0.8590021691973969,0.8804347826086957,0.8867160237668583,0.018341740961614464,1
