precision,recall,f1-score,support
0.926829268292683,1.0,0.9620253164556962,76.0
0.9058823529411765,1.0,0.9506172839506173,77.0
1.0,0.8701298701298701,0.9305555555555556,77.0
0.9436619718309859,0.8701298701298701,0.9054054054054054,77.0
0.9240506329113924,0.948051948051948,0.9358974358974359,77.0
1.0,1.0,1.0,38.0
0.8961038961038961,0.8961038961038961,0.8961038961038961,77.0
0.948051948051948,0.948051948051948,0.948051948051948,77.0
0.9375,0.9375,0.9375,0.9375
0.9430725087665103,0.9415584415584415,0.9410821051775693,576.0
0.9392462432845099,0.9375,0.9370565129738316,576.0
