precision,recall,f1-score,support
0.7435897435897436,0.7631578947368421,0.7532467532467533,38.0
0.6153846153846154,0.631578947368421,0.6233766233766234,38.0
0.59375,0.5,0.5428571428571428,38.0
0.5,0.48717948717948717,0.4935064935064935,39.0
0.37209302325581395,0.41025641025641024,0.3902439024390244,39.0
0.3,0.47368421052631576,0.3673469387755102,19.0
0.43478260869565216,0.2631578947368421,0.32786885245901637,38.0
0.5,0.5641025641025641,0.5301204819277109,39.0
0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5138888888888888
0.5074499988657282,0.5116396761133604,0.5035708985735343,288.0
0.5206142106890179,0.5138888888888888,0.5122216396093506,288.0
