precision,recall,f1-score,support
0.8333333333333334,0.7894736842105263,0.8108108108108109,38.0
0.6274509803921569,0.8421052631578947,0.7191011235955056,38.0
0.6571428571428571,0.6052631578947368,0.6301369863013698,38.0
0.5789473684210527,0.5641025641025641,0.5714285714285714,39.0
0.65625,0.5384615384615384,0.5915492957746479,39.0
0.42857142857142855,0.3157894736842105,0.36363636363636365,19.0
0.5121951219512195,0.5526315789473685,0.5316455696202531,38.0
0.7560975609756098,0.7948717948717948,0.775,39.0
0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334
0.6312485813484572,0.6253373819163293,0.6241635901459404,288.0
0.6449583559599671,0.6458333333333334,0.6415785359808269,288.0
