mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5940557479858398,0.07601724394123442,0.019575119018554688,0.0029776051653601595,0.1,scale,linear,True,42,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.6017316017316018,0.5974025974025974,0.5608695652173913,0.5434782608695652,0.5782608695652174,0.5763485789572746,0.0219603464033422,5
1.26222767829895,0.06883525716734737,0.0737375259399414,0.004544220685054159,0.1,scale,rbf,True,42,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.39826839826839827,0.36363636363636365,0.36086956521739133,0.32608695652173914,0.3521739130434783,0.3602070393374741,0.023193005060858564,11
0.6145165920257568,0.01564628070717505,0.016640186309814453,0.0003200798327565892,0.1,auto,linear,True,42,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.6017316017316018,0.5974025974025974,0.5608695652173913,0.5434782608695652,0.5782608695652174,0.5763485789572746,0.0219603464033422,5
1.107961654663086,0.006211822140757902,0.07309575080871582,0.003534147010287239,0.1,auto,rbf,True,42,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.3939393939393939,0.36363636363636365,0.3565217391304348,0.32608695652173914,0.3521739130434783,0.358471673254282,0.021803060069389577,12
1.2360262870788574,0.053975330779390505,0.015209197998046875,0.0005115449161520533,1.0,scale,linear,True,42,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.5541125541125541,0.5541125541125541,0.5782608695652174,0.5217391304347826,0.5521739130434783,0.5520798042537173,0.01796818114931801,9
0.9701667308807373,0.005213644785010666,0.06940999031066894,0.0016949476215810109,1.0,scale,rbf,True,42,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.5844155844155844,0.6147186147186147,0.5695652173913044,0.5956521739130435,0.6,0.5928703180877094,0.015169241191381702,4
1.242163848876953,0.05331697240291524,0.014977121353149414,0.0003262503876768326,1.0,auto,linear,True,42,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.5541125541125541,0.5541125541125541,0.5782608695652174,0.5217391304347826,0.5521739130434783,0.5520798042537173,0.01796818114931801,9
0.9698572158813477,0.009651105523732079,0.06786856651306153,0.0005060325150721515,1.0,auto,rbf,True,42,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.5887445887445888,0.6147186147186147,0.5695652173913044,0.5956521739130435,0.6,0.5937361189535102,0.014780530823090022,3
1.7508846759796142,0.09145998265107914,0.014700841903686524,0.0004811920477795269,10.0,scale,linear,True,42,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.5757575757575758,0.5541125541125541,0.5739130434782609,0.508695652173913,0.5565217391304348,0.5538001129305476,0.02420155944491338,7
1.1330812454223633,0.006837005918571953,0.06719107627868652,0.0010226967815808296,10.0,scale,rbf,True,42,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.683982683982684,0.6796536796536796,0.6217391304347826,0.6434782608695652,0.6434782608695652,0.6544664031620553,0.02374094628608159,2
1.6912932872772217,0.15593723943513507,0.013189554214477539,0.0011384803957300911,10.0,auto,linear,True,42,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.5757575757575758,0.5541125541125541,0.5739130434782609,0.508695652173913,0.5565217391304348,0.5538001129305476,0.02420155944491338,7
0.8622682571411133,0.10608663100833224,0.048501443862915036,0.009402040681200898,10.0,auto,rbf,True,42,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.6883116883116883,0.6796536796536796,0.6217391304347826,0.6434782608695652,0.6434782608695652,0.6553322040278562,0.024854404400325922,1
