precision,recall,f1-score,support
0.7567567567567568,0.7368421052631579,0.7466666666666667,38.0
0.6410256410256411,0.6578947368421053,0.6493506493506493,38.0
0.5588235294117647,0.5,0.5277777777777778,38.0
0.5135135135135135,0.48717948717948717,0.5,39.0
0.3902439024390244,0.41025641025641024,0.4,39.0
0.3333333333333333,0.5263157894736842,0.40816326530612246,19.0
0.4782608695652174,0.2894736842105263,0.36065573770491804,38.0
0.48936170212765956,0.5897435897435898,0.5348837209302325,39.0
0.5243055555555556,0.5243055555555556,0.5243055555555556,0.5243055555555556
0.5201649060216138,0.5247132253711202,0.5159372272170458,288.0
0.5319094347754079,0.5243055555555556,0.5226552040072773,288.0
