mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,param_model__probability,param_model__random_state,param_selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6593955039978028,0.026108543841428397,0.05813164710998535,0.003808325164412075,1,scale,rbf,True,42,40,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 40}",0.4811715481171548,0.43147208121827413,0.4435146443514644,0.4327731092436975,0.47280334728033474,0.4523469460421851,0.020718236691295945,37
0.855095386505127,0.0634079964119132,0.07605276107788086,0.005042059706514591,1,scale,rbf,True,42,60,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 60}",0.5104602510460251,0.47715736040609136,0.48535564853556484,0.4789915966386555,0.4309623430962343,0.4765854399445142,0.025737144499622493,9
0.9894160270690918,0.054459108249442015,0.07648272514343261,0.004718039273915213,1,scale,rbf,True,42,80,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 80}",0.5397489539748954,0.4467005076142132,0.5230125523012552,0.46638655462184875,0.4476987447698745,0.4847094626564174,0.03910671334095497,1
1.143630361557007,0.029840497692298303,0.08348331451416016,0.005034210423002307,1,scale,rbf,True,42,100,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 100}",0.49372384937238495,0.4467005076142132,0.5271966527196653,0.44537815126050423,0.46443514644351463,0.47548686148205654,0.03118916235698646,11
1.1821745395660401,0.050430621519435136,0.08371620178222657,0.0019953758591327803,1,scale,rbf,True,42,all,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 'all'}",0.4811715481171548,0.43147208121827413,0.502092050209205,0.4117647058823529,0.47280334728033474,0.4598607465414643,0.033239403222910566,31
1.0459898948669433,0.04342206698577898,0.01986222267150879,0.0019482362974243353,1,scale,linear,True,42,40,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__probability': True, 'model__random_state': 42, 'selector__k': 40}",0.497907949790795,0.4416243654822335,0.4393305439330544,0.4117647058823529,0.47280334728033474,0.4526861824737541,0.029748992189773515,33
1.1499959468841552,0.06544369642835278,0.020933771133422853,0.004501759899742642,1,scale,linear,True,42,60,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__probability': True, 'model__random_state': 42, 'selector__k': 60}",0.4895397489539749,0.41624365482233505,0.4686192468619247,0.453781512605042,0.41422594142259417,0.44848202093317424,0.02943508363585014,55
1.114565944671631,0.07237048230630777,0.019307518005371095,0.00228238823095677,1,scale,linear,True,42,80,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__probability': True, 'model__random_state': 42, 'selector__k': 80}",0.45188284518828453,0.4619289340101523,0.41841004184100417,0.4117647058823529,0.41422594142259417,0.4316424936688776,0.0209785643883721,113
1.063838005065918,0.04048120224851518,0.02072134017944336,0.001286942586287658,1,scale,linear,True,42,100,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__probability': True, 'model__random_state': 42, 'selector__k': 100}",0.4602510460251046,0.4365482233502538,0.41841004184100417,0.42016806722689076,0.4225941422594142,0.4315943041405335,0.01569163310335289,117
1.0444204330444335,0.0495784132845667,0.022988128662109374,0.0031570863344893146,1,scale,linear,True,42,all,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__probability': True, 'model__random_state': 42, 'selector__k': 'all'}",0.45188284518828453,0.4365482233502538,0.4602510460251046,0.46638655462184875,0.4225941422594142,0.44753256228898114,0.015992112507294244,59
0.7821276187896729,0.032349828321114646,0.06988673210144043,0.006712495482522445,1,auto,rbf,True,42,40,"{'model__C': 1, 'model__gamma': 'auto', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 40}",0.4811715481171548,0.43147208121827413,0.4435146443514644,0.4327731092436975,0.47280334728033474,0.4523469460421851,0.020718236691295945,37
0.9846085548400879,0.03485706810303818,0.0729555606842041,0.0025545880539861055,1,auto,rbf,True,42,60,"{'model__C': 1, 'model__gamma': 'auto', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 60}",0.5104602510460251,0.47715736040609136,0.48535564853556484,0.4789915966386555,0.4309623430962343,0.4765854399445142,0.025737144499622493,9
1.004377841949463,0.015154846671331932,0.0756880760192871,0.002677150862647231,1,auto,rbf,True,42,80,"{'model__C': 1, 'model__gamma': 'auto', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 80}",0.5397489539748954,0.4467005076142132,0.5230125523012552,0.46638655462184875,0.4476987447698745,0.4847094626564174,0.03910671334095497,1
1.1395801067352296,0.02814820146044805,0.08595848083496094,0.005804403012891467,1,auto,rbf,True,42,100,"{'model__C': 1, 'model__gamma': 'auto', 'model__kernel': 'rbf', 'model__probability': True, 'model__random_state': 42, 'selector__k': 100}",0.49372384937238495,0.4467005076142132,0.5271966527196653,0.44537815126050423,0.46443514644351463,0.47548686148205654,0.03118916235698646,11
