precision,recall,f1-score,support
0.875,0.7368421052631579,0.8,38.0
0.6363636363636364,0.9210526315789473,0.7526881720430108,38.0
0.6666666666666666,0.6842105263157895,0.6753246753246753,38.0
0.8235294117647058,0.717948717948718,0.7671232876712328,39.0
0.6590909090909091,0.7435897435897436,0.6987951807228916,39.0
0.8,0.42105263157894735,0.5517241379310345,19.0
0.6206896551724138,0.47368421052631576,0.5373134328358209,38.0
0.7333333333333333,0.8461538461538461,0.7857142857142857,39.0
0.7118055555555556,0.7118055555555556,0.7118055555555556,0.7118055555555556
0.7268342015489582,0.6930668016194332,0.696085396530369,288.0
0.7221303851565009,0.7118055555555556,0.7061765093008713,288.0
