mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__max_iter,param_model__penalty,param_model__random_state,param_model__solver,param_selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11797971725463867,0.025950741834111113,0.007754707336425781,0.0023749967669022907,0.1,1000,l1,42,liblinear,40,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 40}",0.4602510460251046,0.41624365482233505,0.4811715481171548,0.47058823529411764,0.4435146443514644,0.4543538257220353,0.02274817124389227,99
0.18914694786071778,0.029441285215678844,0.007640457153320313,0.002106412754207692,0.1,1000,l1,42,liblinear,60,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 60}",0.49372384937238495,0.45685279187817257,0.5313807531380753,0.4579831932773109,0.41422594142259417,0.47083330581770755,0.039382595717694466,42
0.34117770195007324,0.08631333288959292,0.007197856903076172,0.0007465707529008155,0.1,1000,l1,42,liblinear,80,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 80}",0.5439330543933054,0.467005076142132,0.5313807531380753,0.46638655462184875,0.4225941422594142,0.4862599161109552,0.04512451868459158,3
0.248886775970459,0.028744511185655575,0.007304334640502929,0.0013650033772318472,0.1,1000,l1,42,liblinear,100,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 100}",0.5313807531380753,0.4467005076142132,0.5271966527196653,0.4831932773109244,0.4309623430962343,0.4838867067758225,0.04078165857568174,7
0.22518115043640136,0.02922570076359532,0.007256126403808594,0.0011636519562959193,0.1,1000,l1,42,liblinear,all,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 'all'}",0.5355648535564853,0.4467005076142132,0.5230125523012552,0.47478991596638653,0.4225941422594142,0.48053239433955086,0.04328405955840719,13
1.4536073207855225,0.3003128806062291,0.005602693557739258,0.0005773614253517446,0.1,1000,l1,42,saga,40,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga', 'selector__k': 40}",0.4393305439330544,0.38071065989847713,0.48535564853556484,0.47478991596638653,0.4435146443514644,0.44474028253698944,0.03655994655465017,125
3.2230836868286135,0.8734374895349212,0.005142831802368164,0.0008520117963159529,0.1,1000,l1,42,saga,60,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga', 'selector__k': 60}",0.502092050209205,0.4365482233502538,0.5104602510460251,0.46638655462184875,0.4100418410041841,0.4651057840463034,0.03814242790128426,54
4.898140144348145,1.4054444748175914,0.005341672897338867,0.000745615225936256,0.1,1000,l1,42,saga,80,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga', 'selector__k': 80}",0.5397489539748954,0.4365482233502538,0.5062761506276151,0.47058823529411764,0.41841004184100417,0.47431432101757726,0.044426793763153,33
6.09750189781189,1.8049790410827888,0.008427953720092774,0.006178172728833847,0.1,1000,l1,42,saga,100,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga', 'selector__k': 100}",0.5271966527196653,0.43147208121827413,0.46443514644351463,0.4789915966386555,0.41841004184100417,0.4641011037722228,0.03835417294772288,61
7.12717022895813,1.9528304153578584,0.005754518508911133,0.0017168756351477645,0.1,1000,l1,42,saga,all,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga', 'selector__k': 'all'}",0.5104602510460251,0.4263959390862944,0.4769874476987448,0.47478991596638653,0.41841004184100417,0.46140871912769105,0.034358658329142276,79
0.09440159797668457,0.002734437628231309,0.007044029235839844,0.0017523572713089187,0.1,1000,l2,42,liblinear,40,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 40}",0.5188284518828452,0.45685279187817257,0.4602510460251046,0.5,0.4393305439330544,0.47505256674383534,0.02954685188041649,24
0.1396334171295166,0.008089754108589399,0.005478668212890625,0.0005100641827612157,0.1,1000,l2,42,liblinear,60,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 60}",0.5397489539748954,0.47715736040609136,0.49372384937238495,0.48739495798319327,0.4100418410041841,0.48161339254814983,0.04171852437140092,11
0.1987095832824707,0.011392503161778027,0.006397628784179687,0.0007997571696831861,0.1,1000,l2,42,liblinear,80,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear', 'selector__k': 80}",0.5104602510460251,0.49238578680203043,0.4811715481171548,0.5210084033613446,0.4351464435146444,0.4880344865682398,0.029844171749400666,1
