precision,recall,f1-score,support
0.8157894736842105,0.8157894736842105,0.8157894736842105,38.0
0.625,0.7894736842105263,0.6976744186046512,38.0
0.6904761904761905,0.7631578947368421,0.725,38.0
0.6410256410256411,0.6410256410256411,0.6410256410256411,39.0
0.6388888888888888,0.5897435897435898,0.6133333333333333,39.0
0.6666666666666666,0.3157894736842105,0.42857142857142855,19.0
0.5714285714285714,0.42105263157894735,0.48484848484848486,38.0
0.6875,0.8461538461538461,0.7586206896551724,39.0
0.6701388888888888,0.6701388888888888,0.6701388888888888,0.6701388888888888
0.6670969290212712,0.6477732793522267,0.6456079337153653,288.0
0.6670076884920635,0.6701388888888888,0.6601907443424585,288.0
