precision,recall,f1-score,support
0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
0.9493670886075949,0.974025974025974,0.9615384615384616,77.0
0.9452054794520548,0.8961038961038961,0.92,77.0
0.9722222222222222,0.9090909090909091,0.9395973154362416,77.0
0.8809523809523809,0.961038961038961,0.9192546583850931,77.0
0.9487179487179487,0.9736842105263158,0.961038961038961,38.0
0.9078947368421053,0.8961038961038961,0.9019607843137255,77.0
0.935064935064935,0.935064935064935,0.935064935064935,77.0
0.9375,0.9375,0.9375,0.9375
0.9391386252981947,0.9398496240601504,0.9390174157879667,576.0
0.938430050300628,0.9375,0.9374661882540656,576.0
