precision,recall,f1-score,support
0.6744186046511628,0.7631578947368421,0.7160493827160493,76.0
0.64,0.6233766233766234,0.631578947368421,77.0
0.5066666666666667,0.4935064935064935,0.5,77.0
0.6219512195121951,0.6623376623376623,0.6415094339622641,77.0
0.582089552238806,0.5064935064935064,0.5416666666666666,77.0
0.36363636363636365,0.3157894736842105,0.3380281690140845,38.0
0.4642857142857143,0.5064935064935064,0.484472049689441,77.0
0.47297297297297297,0.45454545454545453,0.46357615894039733,77.0
0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
0.5407526367454852,0.5407125768967874,0.5396101010446654,576.0
0.5525128254318568,0.5555555555555556,0.5529525594952233,576.0
