mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_probability,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.752106523513794,0.13805193050374392,0.06139340400695801,0.014479104388992867,0.1,scale,linear,True,42,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.5878524945770065,0.5878524945770065,0.5856832971800434,0.5835140997830802,0.5717391304347826,0.5833283033103839,0.006013751867676962,9
3.417040538787842,0.06840201114203326,0.22790999412536622,0.004855439698194737,0.1,scale,rbf,True,42,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.47071583514099785,0.4793926247288503,0.44468546637744033,0.4880694143167028,0.48043478260869565,0.4726596246345374,0.015030501240012008,11
1.3644612312316895,0.0183562449275619,0.04786686897277832,0.0024470470752081907,0.1,auto,linear,True,42,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.5878524945770065,0.5878524945770065,0.5856832971800434,0.5835140997830802,0.5717391304347826,0.5833283033103839,0.006013751867676962,9
3.329904079437256,0.0220388850200743,0.2294994831085205,0.0029603801715760323,0.1,auto,rbf,True,42,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.47071583514099785,0.4793926247288503,0.44468546637744033,0.4880694143167028,0.48043478260869565,0.4726596246345374,0.015030501240012008,11
3.350487804412842,0.09940117456807736,0.04307055473327637,0.0010644931452293298,1.0,scale,linear,True,42,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.6030368763557483,0.6095444685466378,0.6030368763557483,0.5943600867678959,0.5934782608695652,0.6006913137791191,0.006024852607044793,5
2.4168926239013673,0.05690692055039045,0.21156625747680663,0.012154949297269582,1.0,scale,rbf,True,42,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.8004338394793926,0.754880694143167,0.7527114967462039,0.7483731019522777,0.7065217391304348,0.7525841742902951,0.029780402066605795,4
3.1742124557495117,0.13907957494721332,0.03880772590637207,0.004356133838255113,1.0,auto,linear,True,42,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.6030368763557483,0.6095444685466378,0.6030368763557483,0.5943600867678959,0.5934782608695652,0.6006913137791191,0.006024852607044793,5
2.3953870296478272,0.051265092608323126,0.21173248291015626,0.008446084133040686,1.0,auto,rbf,True,42,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.8026030368763557,0.7570498915401301,0.754880694143167,0.7483731019522777,0.7065217391304348,0.753885692728473,0.030522498456912354,3
24.86239881515503,1.2203735930932453,0.040021324157714845,0.0017908943480555762,10.0,scale,linear,True,42,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.6008676789587852,0.6008676789587852,0.6052060737527115,0.5813449023861171,0.5739130434782609,0.5924398755069319,0.012420736638918649,7
2.2117091178894044,0.11375587915661287,0.1749267101287842,0.011639589020384878,10.0,scale,rbf,True,42,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.8980477223427332,0.9370932754880694,0.8980477223427332,0.8763557483731019,0.8847826086956522,0.898865415448458,0.020821705430241116,1
24.214054298400878,2.077130143137514,0.033852243423461915,0.007470518681591736,10.0,auto,linear,True,42,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}",0.6008676789587852,0.6008676789587852,0.6052060737527115,0.5813449023861171,0.5739130434782609,0.5924398755069319,0.012420736638918649,7
2.113263177871704,0.046438940714162054,0.1992314338684082,0.023566833357230407,10.0,auto,rbf,True,42,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 42}",0.8980477223427332,0.9370932754880694,0.8980477223427332,0.8763557483731019,0.8826086956521739,0.8984306328397624,0.02113162273954635,2
